"IDENTIFIER","IDN_TRB_NM","TRIBE_AFFILIATION","LGC_ID"
hmzexepq25,Pit River Tribe                    ,Achomawi                                ,"0222"
U9f5D3Tq25,Alturas Indian Rancheria           ,Achomawi                                ,"0222"
"37IeIDq37T",Round Valley Ind Trbs/RoundValleyRe,Achomawi                                ,"0222"
Vz3Y4h1q25,Native Village of Akhiok           ,Afognak                                 ,"0105"
Pv7pUAlq25,Agdaagux Tribe of King Cove        ,Agdaagux                                ,"0004"
hmzexepq25,Pit River Tribe                    ,Ajumawi                                 ,"0223"
Vz3Y4h1q25,Native Village of Akhiok           ,Akhiok                                  ,"0005"
QWd9Rj9q25,Akiachak Native Community          ,Akiachak                                ,"0006"
QpNoQVLq25,Akiak Native Community             ,Akiak                                   ,"0007"
UTIFAo3q25,Native Village of Akutan           ,Akutan                                  ,"0008"
KJikiqnCyw,Alabama-Coushatta Tribe of Texas   ,Alabama-Coushatta                       ,"0431"
R88TPHXq25,Alabama-Quassarte Tribal Town      ,Alabama-Quassarte                       ,"0432"
"6u3WLnbq25",Village of Alakanuk                ,Alakanuk                                ,"0009"
TFP6Gitq25,Alatna Village                     ,Alatna                                  ,"0010"
Y6KAw8Nq25,Native Village of Aleknagik        ,Aleknagik                               ,"0011"
dF7PbLfq25,Native Village of Chignik Lagoon   ,Aleut                                   ,"0461"
cwMkcZTq25,Native Village of Chenega (Chanega),Aleut                                   ,"0461"
hnHpHyxq25,Seldovia Village Tribe             ,Aleut                                   ,"0461"
kDbHSWdq25,Ugashik Village                    ,Aleut                                   ,"0461"
kVBH80Jq25,Native Village of Eyak (Cordova)   ,Aleut                                   ,"0461"
izi8YRTq25,Native Village of Tatitlek         ,Aleut                                   ,"0461"
ADA7p3Dq25,Native Village of Larsen Bay       ,Aleut                                   ,"0461"
BivQiwBq25,Native Village of Nanwalek(English ,Aleut                                   ,"0461"
Ga8fifnq25,Native Village of Kanatak          ,Aleut                                   ,"0461"
HiknjExFqJ,Aleutian/Pribilof Island Assoc.    ,Aleut                                   ,"0461"
HATKMvfq25,Native Village of Nikolski         ,Aleut                                   ,"0461"
HUOef0Nq25,Alutiiq Tribe of Old Harbor        ,Aleut                                   ,"0461"
Ko5amuFq25,Qagun Tayagungin Tribe/Sand Point  ,Aleut                                   ,"0461"
JYsfrb9FqJ,Bristol Bay Native Association     ,Aleut                                   ,"0461"
KWc6LetFqJ,Kaguyak Village                    ,Aleut                                   ,"0461"
K51ce2FFqJ,Saint Paul Island                  ,Aleut                                   ,"0461"
LP0a5oNq25,Native Village of Ouzinkie         ,Aleut                                   ,"0461"
MkkVWDTFqJ,Pauloff Harbor Village             ,Aleut                                   ,"0461"
L6qFlgRq25,Qawalangin Tribe of Unalaska       ,Aleut                                   ,"0461"
MJGZ28xq25,Native Village of Pilot Point      ,Aleut                                   ,"0461"
LhlF4aZq25,Native Village of Perryville       ,Aleut                                   ,"0461"
"6GnCQIRq25",Egegik Village                     ,Aleut                                   ,"0461"
"7TVg155q25",Chignik Lake Village               ,Aleut                                   ,"0461"
OCsS11fFqJ,Native Village of Akhiok           ,Aleut                                   ,"0461"
PdXpoh5q25,Native Village of Port Lions       ,Aleut                                   ,"0461"
PBoFPAJFqJ,Native Village of Afognak          ,Aleut                                   ,"0461"
Pv7pUAlq25,Agdaagux Tribe of King Cove        ,Aleut                                   ,"0461"
NP85ZSVFqJ,King Salmon Tribe                  ,Aleut                                   ,"0461"
P22Vr8hq25,Native Village of Port Heiden      ,Aleut                                   ,"0461"
UTIFAo3q25,Native Village of Akutan           ,Aleut                                   ,"0461"
Vz3Y4h1q25,Native Village of Akhiok           ,Aleut                                   ,"0461"
Zc5Tq1Lq25,Native Village of Belkofski        ,Aleut                                   ,"0461"
"0bj4JT9FqJ",Native Village of Port Graham      ,Aleut                                   ,"0461"
Z0a9sSxq25,Native Village of Atka             ,Aleut                                   ,"0461"
ZbnJVhDq25,Ivanof Bay Tribe                   ,Aleut                                   ,"0461"
VgIt5upq25,Native Village of Nelson Lagoon    ,Aleut                                   ,"0461"
"1yeFF5nFqJ",Lesnoi Village (aka Woody Island)  ,Aleut                                   ,"0461"
"18iDdXvFqJ",Chignik Bay Tribal Council         ,Aleut                                   ,"0461"
"1RKxOVbq25",Native Village of Karluk           ,Aleut                                   ,"0461"
"19SnOhnq25",Sun'aq Tribe of Kodiak             ,Aleut                                   ,"0461"
"18sSk3Xq25",Native Village of Unga             ,Aleut                                   ,"0461"
"2edldwVq25",Native Village of False Pass       ,Aleut                                   ,"0461"
STE4i6dFqJ,Native Village of Pilot Point      ,Aleut                                   ,"0461"
ApXwlZzq25,Saint George Island                ,Aleut                                   ,"0461"
YP4puuZq25,Algaaciq Native Village (St. Mary s,Algsaciq                                ,"0189"
TquQEHHq25,Allakaket Village                  ,Allakaket                               ,"0012"
dF7PbLfq25,Native Village of Chignik Lagoon   ,Alutiiq                                 ,"0462"
cwMkcZTq25,Native Village of Chenega (Chanega),Alutiiq                                 ,"0462"
izi8YRTq25,Native Village of Tatitlek         ,Alutiiq                                 ,"0462"
kVBH80Jq25,Native Village of Eyak (Cordova)   ,Alutiiq                                 ,"0462"
kDbHSWdq25,Ugashik Village                    ,Alutiiq                                 ,"0462"
hnHpHyxq25,Seldovia Village Tribe             ,Alutiiq                                 ,"0462"
BivQiwBq25,Native Village of Nanwalek(English ,Alutiiq                                 ,"0462"
JYsfrb9FqJ,Bristol Bay Native Association     ,Alutiiq                                 ,"0462"
HUOef0Nq25,Alutiiq Tribe of Old Harbor        ,Alutiiq                                 ,"0462"
Ga8fifnq25,Native Village of Kanatak          ,Alutiiq                                 ,"0462"
ADA7p3Dq25,Native Village of Larsen Bay       ,Alutiiq                                 ,"0462"
LhlF4aZq25,Native Village of Perryville       ,Alutiiq                                 ,"0462"
KWc6LetFqJ,Kaguyak Village                    ,Alutiiq                                 ,"0462"
LP0a5oNq25,Native Village of Ouzinkie         ,Alutiiq                                 ,"0462"
PdXpoh5q25,Native Village of Port Lions       ,Alutiiq                                 ,"0462"
PBoFPAJFqJ,Native Village of Afognak          ,Alutiiq                                 ,"0462"
OCsS11fFqJ,Native Village of Akhiok           ,Alutiiq                                 ,"0462"
STE4i6dFqJ,Native Village of Pilot Point      ,Alutiiq                                 ,"0462"
SZ2I0wuN5g,Native Village of Afognak          ,Alutiiq                                 ,"0462"
P22Vr8hq25,Native Village of Port Heiden      ,Alutiiq                                 ,"0462"
"0bj4JT9FqJ",Native Village of Port Graham      ,Alutiiq                                 ,"0462"
ZbnJVhDq25,Ivanof Bay Tribe                   ,Alutiiq                                 ,"0462"
"1RKxOVbq25",Native Village of Karluk           ,Alutiiq                                 ,"0462"
"19SnOhnq25",Sun'aq Tribe of Kodiak             ,Alutiiq                                 ,"0462"
"18iDdXvFqJ",Chignik Bay Tribal Council         ,Alutiiq                                 ,"0462"
"1yeFF5nFqJ",Lesnoi Village (aka Woody Island)  ,Alutiiq                                 ,"0462"
Vz3Y4h1q25,Native Village of Akhiok           ,Alutiiq                                 ,"0462"
KIVa9eMcYf,Tangirnaq Native Village           ,Alutiiq                                 ,"0462"
"6GnCQIRq25",Egegik Village                     ,Alutiiq                                 ,"0462"
"7TVg155q25",Chignik Lake Village               ,Alutiiq                                 ,"0462"
YhpUtglq25,Native Village of Ambler           ,Ambler                                  ,"0013"
"7CoBKZnq25",Village of Anaktuvuk Pass          ,Anaktuvuk                               ,"0014"
USPkBpfq25,Angoon Community Association       ,Angoon                                  ,"0017"
"7VYqJLzq25",Village of Aniak                   ,Aniak                                   ,"0018"
UlAPAbrq25,Anvik Village                      ,Anvik                                   ,"0020"
IVYd4mj9lV,Apache Tribe of Oklahoma           ,Apache                                  ,"0290"
FLN1pcFq25,Fort Sill Apache Tribe of Oklahoma ,Apache                                  ,"0290"
KUSQp9fq25,Mescalero Apache Trb/Mescalero Res ,Apache                                  ,"0290"
PeiV7zbq25,White Mtn Apache Trb/Fort ApacheRes,Apache                                  ,"0290"
UUl4oQhq25,Yavapai-Apache Nation/CampVerde Ind,Apache                                  ,"0290"
UUSuU6Zq25,Tonto Apache Tribe of Arizona      ,Apache                                  ,"0290"
Y7Cfv6lq25,San Carlos Apache Trb/San CarlosRes,Apache                                  ,"0290"
aonxQnzq25,Jicarilla Apache Nation            ,Apache                                  ,"0290"
hmzexepq25,Pit River Tribe                    ,Aporige                                 ,"0224"
V3v49O3q25,Arapaho Tribe/Wind River Res.      ,Arapahoe                                ,"0291"
NAxXod59lV,Cheyenne&Arapaho Tribes of Oklahoma,Arapahoe                                ,"0291"
"7oJVI8Bq25",Arctic Village                     ,Arctic Village                          ,"0021"
PxAzmRfq25,Three Affiliated Trbs/Fort Berthold,Arikara                                 ,"0292"
VfQO6wRq25,Asa' carsarmiut Tribe              ,Asa' Carsarmuit                         ,"0130"
L5faSNvq25,Ft Belknap Ind Com/Ft Belknap/MT   ,Assiniboine                             ,"0293"
VyB35idq25,Assiniboine&Sioux Trbs/Ft Peck Ind ,Assiniboine                             ,"0293"
hmzexepq25,Pit River Tribe                    ,Astarawi                                ,"0225"
dFhkFzvq25,Pedro Bay Village                  ,Athabascan Indian                       ,"0463"
ap67l87q25,Native Village of Cantwell         ,Athabascan Indian                       ,"0463"
dEEucNHq25,Birch Creek Tribe                  ,Athabascan Indian                       ,"0463"
eRptC8Jq25,Kenaitze Indian Tribe              ,Athabascan Indian                       ,"0463"
i5S9c6tq25,Native Village of Stevens          ,Athabascan Indian                       ,"0463"
jty7Um3q25,Native Village of Tetlin           ,Athabascan Indian                       ,"0463"
jHsSsZPq25,Knik Tribe                         ,Athabascan Indian                       ,"0463"
jISnXDfq25,Native Village of Tazlina          ,Athabascan Indian                       ,"0463"
iOCoat5q25,Native Village of Tanacross        ,Athabascan Indian                       ,"0463"
jJ38Brvq25,Shageluk Native Village            ,Athabascan Indian                       ,"0463"
kUIm91vq25,Chalkyitsik Village                ,Athabascan Indian                       ,"0463"
kVTRSKRq25,Native Village of Fort Yukon       ,Athabascan Indian                       ,"0463"
igxTZfHq25,Native Village of Tanana           ,Athabascan Indian                       ,"0463"
BQAlk9zq25,Native Village of Minto            ,Athabascan Indian                       ,"0463"
FdpWU4Jq25,Circle Native Community 2          ,Athabascan Indian                       ,"0463"
Ff0BnMpq25,Nikolai Village                    ,Athabascan Indian                       ,"0463"
FwsLnAdq25,Galena Village (aka Louden Village),Athabascan Indian                       ,"0463"
Fxkqm91q25,Ninilchik Village                  ,Athabascan Indian                       ,"0463"
FfsgmLDq25,Village of Iliamna                 ,Athabascan Indian                       ,"0463"
F4NMompq25,Village of Dot Lake                ,Athabascan Indian                       ,"0463"
F2uXBABq25,Manley Hot Springs Village         ,Athabascan Indian                       ,"0463"
GrQV3pLq25,Mentasta Traditional Council       ,Athabascan Indian                       ,"0463"
GFvB6Gxq25,McGrath Native Village             ,Athabascan Indian                       ,"0463"
Gs0piTbq25,Nondalton Village                  ,Athabascan Indian                       ,"0463"
GHO0jtbq25,Village of Kaltag                  ,Athabascan Indian                       ,"0463"
GkyXGwdFqJ,Circle Native Community            ,Athabascan Indian                       ,"0463"
IYcpJjnFqJ,Beaver Village                     ,Athabascan Indian                       ,"0463"
KnnQSa7q25,Nulato Village                     ,Athabascan Indian                       ,"0463"
KMuvbWVFqJ,Native Village of Tanana           ,Athabascan Indian                       ,"0463"
KCI6V1jq25,Northway Village                   ,Athabascan Indian                       ,"0463"
J56VMlfFqJ,Cheesh-Na Tribe                    ,Athabascan Indian                       ,"0463"
BPaR5Vjq25,Evansville Village (Bettles Field) ,Athabascan Indian                       ,"0463"
M1OP2L9q25,Takotna Village                    ,Athabascan Indian                       ,"0463"
NXRpcbbFkD,Native Village of Tyonek           ,Athabascan Indian                       ,"0463"
